Date,Returns
2020-05-31,-1.12545475213279
2020-04-30,-1.01484799023924
2020-03-31,-4.54825745043052
2020-02-29,-1.31494914360785
2020-01-31,-1.28946172911663
2019-12-31,1.3501935970766
2019-11-30,1.29499952601437
2019-10-31,1.05601248896501
2019-09-30,-1.96757337855601
2019-08-31,-3.3450820712234
2019-07-31,-0.0309323163472541
2019-06-30,1.62610053906371
2019-05-31,-1.79809172048535
2019-04-30,0.546091407737248
2019-03-31,0.297024132621426
2019-02-28,0.754075319136671
2019-01-31,2.63196070675176
2018-12-31,0.260946179397026
2018-11-30,-3.89256620290587
2018-10-31,-2.69308559698779
2018-09-30,-0.118058949637467
2018-08-31,0.0736856581529777
2018-07-31,-0.190401536128171
2018-06-30,-0.630271548406436
2018-05-31,-0.775803971663458
2018-04-30,0.345591462678563
2018-03-31,-0.201091181603019
2018-02-28,-1.09504829669214
2018-01-31,-1.68817193877985
2017-12-31,-0.573493075011622
2017-11-30,-0.0712852359437743
2017-10-31,0.961157609442598
2017-09-30,-0.800837452940018
2017-08-31,1.31607548191142
2017-07-31,0.443344972504867
2017-06-30,-1.65608783174814
2017-05-31,-0.235906214817716
2017-04-30,0.0297895872457543
2017-03-31,-0.30700030151638
2017-02-28,0.858216622822172
2017-01-31,0.210579956542101
2016-12-31,0.237349278362831
2016-11-30,0.0815976000630991
2016-10-31,-0.579274433659849
2016-09-30,-0.485684049228452
2016-08-31,0.0144408070217761
2016-07-31,0.0578630240526845
2016-06-30,-0.0521362359641731
2016-05-31,1.29450593475129
2016-04-30,-0.932651061248646
2016-03-31,0.863713028020641
2016-02-29,1.74313425545327
2016-01-31,1.89795343647012
2015-12-31,-1.12676819437778
2015-11-30,1.12449411904227
2015-10-31,0.187795213725495
2015-09-30,0.0364304287174599
2015-08-31,-3.43263110706469
2015-07-31,0.910925588882283
2015-06-30,-2.13945191933137
2015-05-31,0.296340181681298
2015-04-30,-1.24156951092319
2015-03-31,1.20758872509044
2015-02-28,0.031372733276247
2015-01-31,0.485029187899588
2014-12-31,0.129286066211742
2014-11-30,1.58745917285514
2014-10-31,0.855365597734825
2014-09-30,-0.266227805671071
2014-08-31,1.96775753989391
2014-07-31,-2.19430656071792
2014-06-30,0.0989464953144337
2014-05-31,1.23408009602575
2014-04-30,1.00880343567067
2014-03-31,-0.59052956053548
2014-02-28,2.08380396327381
2014-01-31,-1.1794331012664
2013-12-31,-0.0700506136874002
2013-11-30,0.709676390389569
2013-10-31,1.75027706539905
2013-09-30,1.26597592350906
2013-08-31,-1.58532094380036
2013-07-31,0.743625517320479
2013-06-30,-0.43364229913464
2013-05-31,-1.28196314425323
2013-04-30,-0.937556445245635
2013-03-31,1.85137188570257
2013-02-28,-0.0754772427819961
2013-01-31,2.40943597330361
2012-12-31,0.646686748400449
2012-11-30,0.861142401533654
2012-10-31,0.460461649954702
2012-09-30,1.0844618755252
2012-08-31,1.53103907364653
2012-07-31,1.83244439025165
2012-06-30,-0.873730193176503
2012-05-31,-0.149885365175573
2012-04-30,-0.0612502562995498
2012-03-31,0.224570264202484
2012-02-29,1.14862755996945
2012-01-31,2.54441826432807
2011-12-31,1.1053358271174
2011-11-30,-0.398937115453668
2011-10-31,1.0800654111178
2011-09-30,0.25956885057894
2011-08-31,0.438104087865709
2011-07-31,1.23416023096325
2011-06-30,-0.842544398875766
2011-05-31,-0.88031030313348
2011-04-30,3.05635178807222
2011-03-31,0.907347554695614
2011-02-28,2.86885471313834
2011-01-31,1.25379447194223
2010-12-31,3.69746547258112
2010-11-30,-0.872034174843395
2010-10-31,2.55035378079806
2010-09-30,1.89445165015794
2010-08-31,0.729502609417998
